date,close,volume,amount_estimated
2024-03-14,69.78,18923475.0,1320480085.5
2024-03-15,69.8,10233670.0,714310166.0
2024-03-18,69.9,8542537.0,597123336.3000001
2024-03-19,69.8,8164119.0,569855506.1999999
2024-03-20,70.56,11123241.0,784855884.96
2024-03-21,70.21,11860518.0,832726968.78
2024-03-22,68.51,12771474.0,874973683.74
2024-03-25,67.84,12422136.0,842717706.24
2024-03-26,67.86,10881916.0,738446819.76
2024-03-27,67.97,13281276.0,902728329.72
2024-03-28,68.74,14073414.0,967406478.3599999
2024-04-01,69.75,14311746.0,998244283.5
2024-04-02,69.26,17290351.0,1197529710.26
2024-04-03,68.82,11777913.0,810555972.66
2024-04-04,68.33,11087058.0,757578673.14
2024-04-05,68.04,12260274.0,834189042.96
2024-04-08,68.09,10560049.0,719033736.4100001
2024-04-09,69.37,14075949.0,976448582.1300001
2024-04-10,70.97,20572164.0,1460006479.08
2024-04-11,71.23,14986818.0,1067511046.1400001
2024-04-12,67.67,18231428.0,1233720732.76
2024-04-15,67.0,15903893.0,1065560831.0
2024-04-16,65.99,17478883.0,1153431489.1699998
2024-04-17,65.2,12760587.0,831990272.4000001
2024-04-18,65.26,9491021.0,619384030.46
2024-04-19,65.45,13084098.0,856354214.1
2024-04-22,67.06,15015564.0,1006943721.84
2024-04-23,68.89,15268166.0,1051823955.74
2024-04-24,71.01,16375157.0,1162799898.5700002
2024-04-25,71.49,11921914.0,852297631.8599999
2024-04-26,71.93,14216073.0,1022562130.8900001
2024-04-29,72.79,13226204.0,962735389.1600001
2024-04-30,71.23,12855978.0,915731312.94
2024-05-01,71.89,10568660.0,759780967.4
2024-05-02,76.71,36663857.0,2812484470.47
2024-05-03,77.71,19355754.0,1504135643.34
2024-05-06,77.93,11826084.0,921606726.1200001
2024-05-07,75.75,14589103.0,1105124552.25
2024-05-08,74.84,11327087.0,847719191.08
2024-05-09,75.84,9627266.0,730131853.44
2024-05-10,76.42,10819532.0,826828635.44
2024-05-13,80.98,32010643.0,2592221870.1400003
2024-05-14,75.89,44687669.0,3391347200.41
2024-05-15,77.37,17803260.0,1377438226.2
2024-05-16,83.08,47259232.0,3926296994.56
2024-05-17,84.92,35152879.0,2985182484.68
2024-05-20,84.66,16737221.0,1416973129.86
2024-05-21,82.51,16512390.0,1362437298.9
2024-05-22,79.06,19717769.0,1558886817.14
2024-05-23,77.18,23930255.0,1846937080.9
2024-05-24,77.64,41456369.0,3218672489.16
2024-05-28,76.96,15211630.0,1170687044.8
2024-05-29,75.44,18448528.0,1391756952.32
2024-05-30,76.01,13895740.0,1056215197.4000001
2024-05-31,74.72,20023788.0,1496177439.36
2024-06-03,74.28,14244423.0,1058075740.44
2024-06-04,74.83,10784382.0,806995305.06
2024-06-05,76.21,13716203.0,1045311830.6299999
2024-06-06,76.39,11205149.0,855961332.11
2024-06-07,74.79,12190292.0,911711938.6800001
2024-06-10,75.68,9490111.0,718211600.48
2024-06-11,74.28,11108400.0,825131952.0
2024-06-12,74.42,12069553.0,898216134.26
2024-06-13,73.7,14026743.0,1033770959.1
2024-06-14,71.37,18282714.0,1304837298.18
2024-06-17,72.57,13466287.0,977248447.5899999
2024-06-18,72.48,10305273.0,746926187.0400001
2024-06-20,72.37,9709376.0,702667541.12
2024-06-21,71.69,10410591.0,746335268.79
2024-06-24,72.81,20134412.0,1465986537.72
2024-06-25,71.81,16986414.0,1219794389.3400002
2024-06-26,72.19,7010070.0,506056953.3
2024-06-27,70.39,11865108.0,835184952.12
2024-06-28,70.02,10334781.0,723641365.62
2024-07-01,70.2,9034023.0,634188414.6
2024-07-02,71.7,13419096.0,962149183.2
2024-07-03,73.59,11705412.0,861401269.08
2024-07-05,72.54,14928519.0,1082914768.26
2024-07-08,71.52,10919434.0,780957919.68
2024-07-09,73.72,14516449.0,1070152620.28
2024-07-10,74.03,12235055.0,905761121.65
2024-07-11,76.54,18896754.0,1446357551.16
2024-07-12,77.67,14857218.0,1153960122.06
2024-07-15,76.03,12614923.0,959112595.69
2024-07-16,76.4,12304392.0,940055548.8000001
2024-07-17,75.06,10815544.0,811814732.64
2024-07-18,74.56,11108627.0,828259229.12
2024-07-19,73.29,7557223.0,553868873.6700001
2024-07-22,74.66,9166826.0,684395229.16
2024-07-23,74.12,7997078.0,592743421.36
2024-07-24,73.82,7924574.0,584992052.68
2024-07-25,73.42,8172629.0,600034421.1800001
2024-07-26,74.55,10884540.0,811442457.0
2024-07-29,76.64,17364101.0,1330784700.64
2024-07-30,76.02,8431889.0,640992201.78
2024-07-31,76.87,12178605.0,936169366.35
2024-08-01,76.0,8559541.0,650525116.0
2024-08-02,75.47,10808655.0,815729192.85
2024-08-05,75.0,16143255.0,1210744125.0
2024-08-06,75.92,12128907.0,920826619.44
2024-08-07,75.85,9693876.0,735280494.5999999
2024-08-08,78.33,14004330.0,1096959168.8999999
2024-08-09,78.01,7755710.0,605022937.1
2024-08-12,78.93,12127711.0,957240229.2300001
2024-08-13,79.12,9365717.0,741015529.0400001
2024-08-14,77.49,18058075.0,1399320231.75
2024-08-15,77.56,31619351.0,2452396863.56
2024-08-16,81.2,25248963.0,2050215795.6000001
2024-08-19,81.93,14750907.0,1208541810.51
2024-08-20,79.06,17880001.0,1413592879.06
2024-08-21,81.55,14689958.0,1197966074.8999999
2024-08-22,80.98,9728690.0,787829316.2
2024-08-23,83.43,17317990.0,1444839905.7
2024-08-26,79.78,29321613.0,2339278285.14
2024-08-27,79.47,9025891.0,717287557.77
2024-08-28,77.64,14024355.0,1088850922.2
2024-08-29,79.04,14154155.0,1118744411.2
2024-08-30,81.36,20027302.0,1629421290.72
2024-09-03,80.29,11638178.0,934429311.6200001
2024-09-04,80.49,11114041.0,894569160.0899999
2024-09-05,80.45,8461044.0,680690989.8000001
2024-09-06,79.2,11712670.0,927643464.0
2024-09-09,79.46,10434305.0,829109875.3
2024-09-10,81.82,15327768.0,1254117977.76
2024-09-11,82.83,11551554.0,956815217.8199999
2024-09-12,83.51,10781344.0,900350037.44
2024-09-13,82.71,8985452.0,743186734.92
2024-09-16,81.62,11298141.0,922154268.4200001
2024-09-17,82.72,10113884.0,836620484.48
2024-09-18,82.44,7858842.0,647882934.48
2024-09-19,86.51,18618344.0,1610672939.44
2024-09-20,86.31,12277030.0,1059630459.3000001
2024-09-23,88.11,19743963.0,1739640579.93
2024-09-24,95.21,47423066.0,4515150113.86
2024-09-25,93.48,18816622.0,1758977824.5600002
2024-09-26,103.09,67261569.0,6933995148.21
2024-09-27,105.35,50075086.0,5275410310.099999
2024-09-30,104.14,58695541.0,6112553639.74
2024-10-01,110.76,44505025.0,4929376569.0
2024-10-02,113.27,53732800.0,6086314256.0
2024-10-03,110.86,29266951.0,3244534187.86
2024-10-04,112.55,25699076.0,2892431003.7999997
2024-10-07,115.54,38404022.0,4437200701.88
2024-10-08,107.7,37414311.0,4029521294.7000003
2024-10-09,105.91,28792904.0,3049456462.64
2024-10-10,107.3,19736531.0,2117729776.3
2024-10-11,108.16,18042609.0,1951488589.44
2024-10-14,105.83,21351601.0,2259639933.83
2024-10-15,99.86,28942612.0,2890209234.32
2024-10-16,100.19,16432574.0,1646379589.06
2024-10-17,98.09,15808247.0,1550630948.23
2024-10-18,100.45,20824490.0,2091820020.5
2024-10-21,98.93,10328625.0,1021810871.2500001
2024-10-22,98.48,20649959.0,2033607962.3200002
2024-10-23,96.02,13638141.0,1309534298.82
2024-10-24,94.38,13602830.0,1283835095.3999999
2024-10-25,95.44,16977044.0,1620289079.36
2024-10-28,97.95,16044384.0,1571547412.8
2024-10-29,97.85,13685132.0,1339090166.1999998
2024-10-30,96.72,10179823.0,984592480.56
2024-10-31,96.0,8379347.0,804417312.0
2024-11-01,95.6,8501016.0,812697129.5999999
2024-11-04,96.42,8681874.0,837106291.08
2024-11-05,97.23,10804118.0,1050484393.14
2024-11-06,94.75,18162861.0,1720931079.75
2024-11-07,98.16,16340404.0,1603974056.6399999
2024-11-08,92.21,24879707.0,2294157782.47
2024-11-11,93.44,12556727.0,1173300570.8799999
2024-11-12,89.8,21641737.0,1943427982.6
2024-11-13,90.02,12874268.0,1158941605.36
2024-11-14,88.6,16946557.0,1501464950.1999998
2024-11-15,86.61,31018188.0,2686485262.68
2024-11-18,87.37,13513836.0,1180703851.3200002
2024-11-19,85.13,19289022.0,1642074442.86
2024-11-20,84.79,15174427.0,1286639665.3300002
2024-11-21,83.6,15869218.0,1326666624.8
2024-11-22,81.15,24998924.0,2028662682.6000001
2024-11-25,83.6,15120011.0,1264032919.6
2024-11-26,83.2,10241417.0,852085894.4
2024-11-27,84.61,13607616.0,1151340389.76
2024-11-29,85.39,7416145.0,633264621.55
2024-12-02,83.97,16537213.0,1388629775.61
2024-12-03,83.7,13660588.0,1143391215.6000001
2024-12-04,82.95,13613702.0,1129256580.9
2024-12-05,82.17,12979565.0,1066530856.0500001
2024-12-06,83.95,11751504.0,986538760.8000001
2024-12-09,90.34,32767291.0,2960197068.94
2024-12-10,87.85,13859190.0,1217529841.5
2024-12-11,87.0,9865966.0,858339042.0
2024-12-12,87.25,9951048.0,868228938.0
2024-12-13,85.84,11608578.0,996480335.52
2024-12-16,84.08,13216622.0,1111253577.76
2024-12-17,85.17,13288563.0,1131786910.71
2024-12-18,83.02,11319459.0,939741486.18
2024-12-19,82.33,13795038.0,1135745478.54
2024-12-20,80.3,21270234.0,1707999790.2
2024-12-23,83.16,20055083.0,1667780702.28
2024-12-24,83.54,5125595.0,428192206.3
2024-12-26,84.1,12016512.0,1010588659.1999999
2024-12-27,83.08,8629317.0,716923656.36
2024-12-30,82.15,10730861.0,881540231.1500001
2024-12-31,82.81,7414966.0,614033334.46
2025-01-02,82.97,10635704.0,882444360.88
2025-01-03,83.56,7689441.0,642529689.96
2025-01-06,83.54,18077100.0,1510160934.0
2025-01-07,82.5,11144052.0,919384290.0
2025-01-08,81.71,9661827.0,789467884.17
2025-01-10,78.55,15393850.0,1209186917.5
2025-01-13,78.56,10726575.0,842679732.0
2025-01-14,79.7,8773675.0,699261897.5
2025-01-15,80.46,11655722.0,937819392.1199999
2025-01-16,80.45,7566463.0,608721948.35
2025-01-17,83.14,21132362.0,1756944576.68
2025-01-21,83.4,17099518.0,1426099801.2
2025-01-22,84.42,10354748.0,874147826.16
2025-01-23,84.12,9225596.0,776057135.5200001
2025-01-24,87.16,18790949.0,1637819114.84
2025-01-27,88.01,25999680.0,2288231836.8
2025-01-28,94.05,31296257.0,2943412970.85
2025-01-29,94.74,75052970.0,7110518377.799999
2025-01-30,100.76,45928916.0,4627797576.16
2025-01-31,96.86,36503531.0,3535732012.66
2025-02-03,96.63,29282705.0,2829587784.15
2025-02-04,100.37,29877381.0,2998792730.9700003
2025-02-05,97.3,17017858.0,1655837583.3999999
2025-02-06,98.4,12774509.0,1257011685.6000001
2025-02-07,101.53,39538154.0,4014308775.62
2025-02-10,109.34,42429391.0,4639229611.940001
2025-02-11,110.8,55001239.0,6094137281.2
2025-02-12,116.35,44024695.0,5122273263.25
2025-02-13,117.56,34429142.0,4047489933.52
2025-02-14,122.75,52729751.0,6472576935.25
2025-02-18,124.92,42152763.0,5265723153.96
2025-02-19,123.81,35155212.0,4352566797.72
2025-02-20,133.99,118848893.0,15924563173.070002
2025-02-21,141.77,73891894.0,10475653812.380001
2025-02-24,127.06,74118284.0,9417469165.04
2025-02-25,132.03,38881139.0,5133476782.17
2025-02-26,137.1,40670131.0,5575874960.099999
2025-02-27,134.57,23859271.0,3210742098.47
2025-02-28,130.53,24862561.0,3245310087.33
2025-03-03,128.83,22528034.0,2902286620.2200003
2025-03-04,127.87,25366494.0,3243613587.78
2025-03-05,139.05,37284536.0,5184414730.8
2025-03-06,137.97,35482111.0,4895466854.67
2025-03-07,138.64,31904295.0,4423211458.799999
2025-03-10,130.56,33484092.0,4371683051.52
2025-03-11,137.04,29094636.0,3987128917.4399996
2025-03-12,135.16,23880819.0,3227731496.04
2025-03-13,136.37,20516285.0,2797805785.4500003
2025-03-14,139.12,17381919.0,2418172571.28
2025-03-17,145.59,33896950.0,4935056950.5
2025-03-18,140.76,20950024.0,2948925378.24
2025-03-19,141.22,16333802.0,2306659518.44
2025-03-20,134.93,23646723.0,3190652334.3900003
2025-03-21,133.16,13970210.0,1860273163.6
2025-03-24,132.5,14019011.0,1857518957.5
2025-03-25,130.77,17943255.0,2346439456.3500004
2025-03-26,130.26,16023395.0,2087207432.6999998
2025-03-27,133.65,16688316.0,2230393433.4
2025-03-28,130.45,13271468.0,1731263000.6
2025-03-31,130.25,12183791.0,1586938777.75
2025-04-01,130.72,11627332.0,1519924839.04
2025-04-02,127.81,21240902.0,2714799684.62
2025-04-03,127.35,30607537.0,3897869836.95
2025-04-04,114.56,57154367.0,6547604283.52
2025-04-07,104.0,61386582.0,6384204528.0
2025-04-08,97.39,52099966.0,5074015688.74
2025-04-09,102.8,74981897.0,7708139011.599999
2025-04-10,102.2,53133403.0,5430233786.6
2025-04-11,105.75,40522711.0,4285276688.25
2025-04-14,111.99,32925958.0,3687378036.4199996
2025-04-15,110.3,16172344.0,1783809543.2
2025-04-16,104.77,18031517.0,1889162036.09
2025-04-17,106.89,17884945.0,1911721771.05
2025-04-21,108.17,12145636.0,1313793446.1200001
2025-04-22,113.9,27662423.0,3150749979.7000003
2025-04-23,116.99,25762677.0,3013975582.23
2025-04-24,117.31,13695726.0,1606645617.06
2025-04-25,118.3,9306274.0,1100932214.2
2025-04-28,116.39,10747995.0,1250959138.05
2025-04-29,116.9,8295378.0,969729688.2
2025-04-30,117.45,10144809.0,1191507817.05
2025-05-01,118.55,8690227.0,1030226410.85
2025-05-02,123.78,18092454.0,2239483956.12
2025-05-05,124.59,9868775.0,1229550677.25
2025-05-06,125.68,17919705.0,2252148524.4
2025-05-07,121.25,16023939.0,1942902603.75
2025-05-08,123.81,10846746.0,1342935622.26
2025-05-09,123.35,11172043.0,1378071504.05
2025-05-12,130.57,22631521.0,2954997696.97
2025-05-13,129.67,16123584.0,2090745137.2799997
2025-05-14,132.07,18278138.0,2413993685.66
2025-05-15,121.92,35442730.0,4321177641.6
2025-05-16,121.48,20089978.0,2440530527.44
2025-05-19,120.98,11197016.0,1354614995.68
2025-05-20,123.18,11789999.0,1452292076.8200002
2025-05-21,121.61,8521411.0,1036288791.71
2025-05-22,119.5,7820944.0,934602808.0
2025-05-23,118.75,7163333.0,850645793.75
2025-05-27,117.54,8544450.0,1004314653.0
2025-05-28,114.76,11707673.0,1343572553.48
2025-05-29,115.2,12392828.0,1427653785.6000001
2025-05-30,111.86,17213209.0,1925469558.74
2025-06-02,112.77,13147154.0,1482604556.58
2025-06-03,112.99,14008935.0,1582869565.6499999
2025-06-04,117.47,18115420.0,2128018387.4
2025-06-05,117.98,15375368.0,1813985916.64
2025-06-06,117.4,9753125.0,1145016875.0
2025-06-09,119.5,10410506.0,1244055467.0
2025-06-10,119.9,8892757.0,1066241564.3000001
2025-06-11,118.35,10443073.0,1235937689.55
2025-06-12,116.62,10204450.0,1190042959.0
2025-06-13,112.87,13355102.0,1507390362.74
2025-06-16,115.96,10242862.0,1187762277.52
2025-06-17,115.03,10205739.0,1173966157.17
2025-06-18,113.49,14002311.0,1589122275.3899999
2025-06-20,113.01,12737316.0,1439444081.16
2025-06-23,113.09,12536505.0,1417753350.45
2025-06-24,117.01,17125087.0,2003806429.8700001
2025-06-25,114.55,12835548.0,1470312023.3999999
2025-06-26,113.93,8388013.0,955646321.09
2025-06-27,114.08,12355492.0,1409514527.36
2025-06-30,113.41,10457042.0,1185933133.22
2025-07-01,113.97,9243163.0,1053443287.11
2025-07-02,110.71,13843810.0,1532648205.1
2025-07-03,108.7,11720672.0,1274037046.4
2025-07-07,106.27,17446152.0,1854002573.04
2025-07-08,107.99,11319722.0,1222416778.78
2025-07-09,103.83,24609115.0,2555164410.45
2025-07-10,106.64,13554349.0,1445435777.36
2025-07-11,106.72,10774594.0,1149864671.68
2025-07-14,108.22,13231320.0,1431893450.4
2025-07-15,116.97,34785371.0,4068844845.87
2025-07-16,115.73,14438970.0,1671021998.1000001
2025-07-17,117.3,14573568.0,1709479526.3999999
2025-07-18,120.23,26787428.0,3220652468.44
2025-07-21,120.27,17937612.0,2157356595.24
2025-07-22,120.71,11551409.0,1394370580.3899999
2025-07-23,122.58,12874161.0,1578114655.3799999
2025-07-24,121.15,11378338.0,1378485648.7
2025-07-25,120.03,7060552.0,847478056.5600001
2025-07-28,122.15,11207369.0,1368980123.3500001
2025-07-29,119.36,13599595.0,1623247659.2
2025-07-30,117.38,12793991.0,1501758663.58
2025-07-31,120.63,13650345.0,1646641117.35
2025-08-01,117.07,12424272.0,1454509523.04
2025-08-04,117.5,7272111.0,854473042.5
2025-08-05,117.04,5885558.0,688845708.32
2025-08-06,120.86,12079640.0,1459945290.4
2025-08-07,120.96,9480562.0,1146768779.52
2025-08-08,120.36,9763545.0,1175140276.2
2025-08-11,118.64,12071959.0,1432217215.76
2025-08-12,122.42,11994828.0,1468406843.76
2025-08-13,126.86,19362278.0,2456298587.08
2025-08-14,122.28,15045595.0,1839775356.6
2025-08-15,121.26,11141846.0,1351060245.96
2025-08-18,121.4,8550426.0,1038021716.4000001
2025-08-19,119.99,8106147.0,972656578.53
2025-08-20,119.49,7095753.0,847871525.9699999
2025-08-21,118.09,8231152.0,972016739.6800001
2025-08-22,122.94,13855325.0,1703373655.5
2025-08-25,124.35,12888365.0,1602668187.75
2025-08-26,124.19,8705938.0,1081190440.22
2025-08-27,122.23,13833096.0,1690819324.0800002
2025-08-28,119.57,14501123.0,1733899277.11
2025-08-29,135.0,82165104.0,11092289040.0
2025-09-02,138.55,41625079.0,5767154695.450001
2025-09-03,136.45,16470529.0,2247403682.0499997
2025-09-04,130.92,24730939.0,3237774533.8799996
2025-09-05,135.58,19202474.0,2603471424.92
2025-09-08,141.2,20095276.0,2837452971.2
2025-09-09,147.1,32792109.0,4823719233.9
2025-09-10,143.93,21079829.0,3034019787.9700003
2025-09-11,155.44,50088976.0,7785830429.44
2025-09-12,155.06,20903285.0,3241263372.1
2025-09-15,158.04,23567147.0,3724551911.8799996
2025-09-16,162.21,26017567.0,4220309543.07
2025-09-17,166.17,29344295.0,4876141500.15
2025-09-18,162.48,19529564.0,3173163558.72
2025-09-19,162.81,18183216.0,2960409396.96
2025-09-22,164.25,18667746.0,3066177280.5
2025-09-23,163.08,18278591.0,2980872620.28
2025-09-24,176.44,52642250.0,9288198590.0
2025-09-25,175.47,20712203.0,3634370260.41
2025-09-26,171.91,15971139.0,2745598505.49
2025-09-29,179.9,21576309.0,3881577989.1
2025-09-30,178.73,18681536.0,3338950929.2799997
2025-10-01,182.78,14966893.0,2735648702.54
2025-10-02,189.34,23687832.0,4485054110.88
2025-10-03,188.03,13990883.0,2630705730.4900002
2025-10-06,187.22,10973361.0,2054432646.42
2025-10-07,181.33,16942094.0,3072109905.02
2025-10-08,181.12,15883633.0,2876843608.96
2025-10-09,173.68,21211482.0,3684010193.76
2025-10-10,159.01,50296818.0,7997697030.179999
2025-10-13,166.81,25703058.0,4287527104.98
2025-10-14,162.86,18583211.0,3026461743.46
2025-10-15,165.91,15337377.0,2544624218.07
2025-10-16,165.09,10979714.0,1812640984.26
2025-10-17,167.05,17765727.0,2967764695.3500004
2025-10-20,173.47,20120429.0,3490290818.63
2025-10-21,166.67,15662485.0,2610466374.95
2025-10-22,165.86,15016487.0,2490634533.82
2025-10-23,171.9,12792045.0,2198952535.5
2025-10-24,174.7,11840875.0,2068600862.4999998
2025-10-27,179.45,12580815.0,2257627251.75
2025-10-28,176.72,11906745.0,2104159976.4
2025-10-29,179.97,12068858.0,2172032374.2599998
2025-10-30,173.93,10756220.0,1870829344.6000001
2025-10-31,170.43,13181132.0,2246460326.76
2025-11-03,167.69,9702244.0,1626969296.36
2025-11-04,164.3,9693085.0,1592573865.5
2025-11-05,164.82,8631006.0,1422562408.9199998
2025-11-06,167.61,12438842.0,2084874307.6200001
2025-11-07,166.34,11581092.0,1926398843.28
2025-11-10,165.89,9348727.0,1550860322.03
2025-11-11,160.8,11354390.0,1825785912.0000002
2025-11-12,157.91,13920804.0,2198234159.64
2025-11-13,159.84,17212992.0,2751324641.28
2025-11-14,153.8,33990941.0,5227806725.8
2025-11-17,157.71,16911359.0,2667090427.8900003
2025-11-18,159.72,12438868.0,1986735996.96
2025-11-19,158.89,7949747.0,1263135300.83
2025-11-20,153.28,13466874.0,2064202446.72
2025-11-21,152.93,16240648.0,2483682298.6400003
2025-11-24,160.73,21796582.0,3503364624.8599997
2025-11-25,157.01,27097482.0,4254575648.8199997
2025-11-26,157.6,21453064.0,3381002886.4
2025-11-28,157.3,7120583.0,1120067705.9
2025-12-01,164.26,15321150.0,2516652099.0
2025-12-02,161.13,9878480.0,1591719482.3999999
2025-12-03,158.08,6967887.0,1101483576.96
2025-12-04,157.44,6666333.0,1049547467.52
2025-12-05,158.32,6277149.0,993798229.68
2025-12-08,158.13,7341965.0,1160984925.45
2025-12-09,155.96,6458051.0,1007197633.96
2025-12-10,158.82,10928481.0,1735661352.4199998
2025-12-11,156.9,8171243.0,1282068026.7
2025-12-12,155.68,6708382.0,1044360909.76
2025-12-15,150.09,11233040.0,1685966973.6000001
2025-12-16,149.29,9051912.0,1351359942.48
2025-12-17,147.09,8271022.0,1216584625.98
2025-12-18,147.32,6597287.0,971912320.8399999
2025-12-19,149.79,9004092.0,1348722940.6799998
2025-12-22,150.96,6779054.0,1023365991.84
2025-12-23,151.23,5373209.0,812590397.0699999
2025-12-24,150.06,2792566.0,419052453.96
2025-12-26,152.24,6037099.0,919087951.7600001
2025-12-29,148.49,8900020.0,1321563969.8000002
2025-12-30,147.36,6832191.0,1006791665.7600001
2025-12-31,146.58,6115989.0,896481667.6200001
2026-01-02,155.74,15778326.0,2457316491.2400002
2026-01-05,156.26,14743958.0,2303890877.08
2026-01-06,150.9,12998104.0,1961413893.6000001
2026-01-07,146.75,12613212.0,1850988861.0
2026-01-08,154.47,20981676.0,3241039491.72
2026-01-09,150.96,11437920.0,1726668403.2
2026-01-12,166.31,35379013.0,5883883652.03
2026-01-13,167.01,18850342.0,3148195617.4199996
2026-01-14,169.9,17475064.0,2969013373.6
2026-01-15,170.93,12606969.0,2154909211.17
2026-01-16,165.4,18598142.0,3076132686.8
2026-01-20,162.39,9885048.0,1605232944.7199998
2026-01-21,168.67,11713726.0,1975754164.4199998
2026-01-22,177.18,32030864.0,5675228483.52
2026-01-23,173.23,13063993.0,2263075507.39
2026-01-26,171.37,10166082.0,1742161472.3400002
2026-01-27,172.72,8931278.0,1542610336.16
2026-01-28,175.66,9001450.0,1581194707.0
2026-01-29,174.25,12062496.0,2101889928.0
2026-01-30,169.56,10846082.0,1839061663.92
2026-02-02,168.39,6551750.0,1103249182.5
2026-02-03,163.65,10066399.0,1647366196.3500001
2026-02-04,159.14,11851137.0,1885989942.1799998
2026-02-05,157.76,10936664.0,1725368112.6399999
2026-02-06,162.51,10972061.0,1783069633.11
2026-02-09,163.0,7260324.0,1183432812.0
2026-02-10,166.51,10989709.0,1829896445.59
2026-02-11,164.32,8756875.0,1438929700.0
2026-02-12,158.73,11457704.0,1818681355.9199998
2026-02-13,155.73,16045447.0,2498757461.31
2026-02-17,155.43,6803516.0,1057470491.88
2026-02-18,155.77,4506592.0,701991835.84
